Airline,Source,Destination,Total_Stops,Price,Duration_in_minutes,Number_of_Stops,Journey_year,Journey_month,Journey_day,Dep_hour,Dep_minute,Arr_hour,Arr_minute
Air India,Banglore,New Delhi,1 stop,15434,725,1,2019,3,6,11,50,23,55
Air India,Kolkata,Banglore,2 stops,10676,1390,2,2019,5,18,12,0,11,10
IndiGo,Kolkata,Banglore,non-stop,4804,155,0,2019,4,21,20,20,22,55
Jet Airways,Delhi,Cochin,2 stops,13014,1025,2,2019,6,9,19,30,12,35
IndiGo,Banglore,Delhi,non-stop,3943,170,0,2019,5,3,10,10,13,0
Air India,Mumbai,Hyderabad,2 stops,9678,990,2,2019,3,6,5,30,22,0
Jet Airways,Kolkata,Banglore,1 stop,14781,685,1,2019,5,15,8,25,19,50
Multiple carriers,Delhi,Cochin,1 stop,10197,600,1,2019,5,15,9,0,19,0
Air India,Delhi,Cochin,2 stops,10861,800,2,2019,5,9,5,55,19,15
Jet Airways,Kolkata,Banglore,1 stop,10844,450,1,2019,5,1,21,10,4,40
Air India,Delhi,Cochin,1 stop,7480,965,1,2019,5,21,17,20,9,25
IndiGo,Delhi,Cochin,1 stop,5684,500,1,2019,6,24,17,10,1,30
Jet Airways,Delhi,Cochin,1 stop,14714,1620,1,2019,6,6,16,0,19,0
Jet Airways,Kolkata,Banglore,1 stop,9314,505,1,2019,4,1,9,35,18,0
Air India,Kolkata,Banglore,non-stop,4435,155,0,2019,3,15,20,45,23,20
Multiple carriers,Delhi,Cochin,1 stop,11789,690,1,2019,6,27,7,30,19,0
SpiceJet,Banglore,Delhi,non-stop,3919,175,0,2019,4,3,21,10,0,5
Jet Airways,Banglore,Delhi,non-stop,5198,175,0,2019,4,6,15,15,18,10
SpiceJet,Banglore,New Delhi,non-stop,4273,170,0,2019,3,24,5,45,8,35
Vistara,Kolkata,Banglore,1 stop,8820,1550,1,2019,5,9,17,0,18,50
IndiGo,Mumbai,Hyderabad,non-stop,2754,90,0,2019,5,6,12,0,13,30
Vistara,Kolkata,Banglore,1 stop,8085,1625,1,2019,6,9,20,20,23,25
Jet Airways,Kolkata,Banglore,1 stop,10539,1480,1,2019,6,9,20,25,21,5
Jet Airways,Kolkata,Banglore,1 stop,14676,750,1,2019,6,9,9,35,22,5
Jet Airways,Delhi,Cochin,1 stop,6017,1570,1,2019,3,27,2,15,4,25
Jet Airways,Banglore,Delhi,non-stop,4544,185,0,2019,4,1,18,55,22,0
Trujet,Mumbai,Hyderabad,1 stop,4140,195,1,2019,3,6,13,5,16,20
Jet Airways,Banglore,Delhi,non-stop,7229,175,0,2019,5,3,11,10,14,5
Air India,Delhi,Cochin,2 stops,16373,1275,2,2019,3,9,22,0,19,15
Air India,Kolkata,Banglore,2 stops,10991,1045,2,2019,5,1,5,50,23,15
Jet Airways,Kolkata,Banglore,1 stop,9663,1315,1,2019,5,18,14,5,12,0
Air India,Banglore,New Delhi,1 stop,14305,1520,1,2019,3,1,22,0,23,20
Air Asia,Delhi,Cochin,1 stop,6752,865,1,2019,5,15,16,45,7,10
Jet Airways,Kolkata,Banglore,1 stop,8529,1010,1,2019,6,12,16,30,9,20
IndiGo,Delhi,Cochin,non-stop,4729,195,0,2019,3,27,5,35,8,50
Multiple carriers,Delhi,Cochin,1 stop,7670,735,1,2019,5,18,8,45,21,0
Jet Airways,Mumbai,Hyderabad,non-stop,4995,90,0,2019,5,3,10,20,11,50
Jet Airways,Banglore,Delhi,non-stop,7229,180,0,2019,5,1,8,20,11,20
IndiGo,Banglore,Delhi,non-stop,4823,175,0,2019,4,27,7,10,10,5
Air Asia,Kolkata,Banglore,non-stop,3782,150,0,2019,3,27,19,35,22,5
Jet Airways,Delhi,Cochin,1 stop,12898,1485,1,2019,5,21,18,15,19,0
SpiceJet,Kolkata,Banglore,non-stop,3841,140,0,2019,5,24,22,20,0,40
Multiple carriers,Delhi,Cochin,1 stop,9627,505,1,2019,5,18,10,35,19,0
Jet Airways,Kolkata,Banglore,1 stop,14571,890,1,2019,6,9,21,10,12,0
IndiGo,Kolkata,Banglore,non-stop,6985,155,0,2019,3,24,15,20,17,55
Jet Airways,Mumbai,Hyderabad,non-stop,8040,85,0,2019,6,21,7,5,8,30
IndiGo,Kolkata,Banglore,non-stop,4804,155,0,2019,6,21,22,15,0,50
Multiple carriers,Delhi,Cochin,1 stop,10678,845,1,2019,6,27,4,55,19,0
Jet Airways,Kolkata,Banglore,1 stop,14231,1515,1,2019,3,24,16,55,18,10
Jet Airways,Kolkata,Banglore,1 stop,8529,1220,1,2019,6,12,20,0,16,20
Air India,Delhi,Cochin,2 stops,11753,500,2,2019,6,24,10,55,19,15
Jet Airways,Delhi,Cochin,2 stops,16704,1760,2,2019,5,18,23,5,4,25
Jet Airways,Kolkata,Banglore,1 stop,13374,585,1,2019,6,6,18,55,4,40
Air India,Mumbai,Hyderabad,non-stop,3625,80,0,2019,5,1,21,5,22,25
Jet Airways,Delhi,Cochin,1 stop,16079,1620,1,2019,5,21,16,0,19,0
Jet Airways,Delhi,Cochin,1 stop,10262,940,1,2019,6,27,20,55,12,35
Jet Airways,Kolkata,Banglore,1 stop,9663,330,1,2019,5,15,6,30,12,0
Multiple carriers,Delhi,Cochin,1 stop,9595,450,1,2019,5,18,18,0,1,30
IndiGo,Kolkata,Banglore,non-stop,4804,155,0,2019,6,24,17,15,19,50
Air India,Kolkata,Banglore,2 stops,12744,1165,2,2019,6,9,10,0,5,25
Air India,Banglore,Delhi,non-stop,6961,170,0,2019,6,1,13,20,16,10
Jet Airways,Kolkata,Banglore,1 stop,9663,875,1,2019,5,6,14,5,4,40
Multiple carriers,Delhi,Cochin,1 stop,7575,520,1,2019,5,21,10,35,19,15
Air India,Banglore,New Delhi,2 stops,13355,925,2,2019,3,3,19,10,10,35
Air India,Kolkata,Banglore,2 stops,12592,1700,2,2019,5,24,9,25,13,45
Air India,Mumbai,Hyderabad,non-stop,3625,90,0,2019,6,1,13,55,15,25
Jet Airways,Delhi,Cochin,1 stop,10262,805,1,2019,6,24,15,0,4,25
Air India,Delhi,Cochin,2 stops,9443,1410,2,2019,5,21,19,45,19,15
Air India,Delhi,Cochin,1 stop,18959,635,1,2019,3,9,8,40,19,15
IndiGo,Mumbai,Hyderabad,non-stop,4784,85,0,2019,3,3,6,20,7,45
Air India,Kolkata,Banglore,1 stop,7893,1110,1,2019,4,1,17,30,12,0
Air India,Delhi,Cochin,2 stops,14431,1490,2,2019,6,27,6,50,7,40
Jet Airways Business,Banglore,New Delhi,1 stop,79512,340,1,2019,3,1,5,45,11,25
Jet Airways,Mumbai,Hyderabad,non-stop,3210,90,0,2019,5,24,19,35,21,5
Multiple carriers,Delhi,Cochin,1 stop,13677,900,1,2019,3,9,6,0,21,0
Air India,Delhi,Cochin,1 stop,7480,1640,1,2019,5,27,6,5,9,25
Air India,Delhi,Cochin,1 stop,8372,760,1,2019,6,24,19,0,7,40
Jet Airways,Delhi,Cochin,2 stops,11664,1380,2,2019,3,27,5,25,4,25
Air India,Banglore,Delhi,non-stop,6961,165,0,2019,6,18,10,0,12,45
Air India,Banglore,Delhi,non-stop,6121,165,0,2019,4,24,17,0,19,45
Air India,Banglore,Delhi,non-stop,5911,165,0,2019,4,12,6,10,8,55
GoAir,Banglore,Delhi,non-stop,3398,170,0,2019,5,6,11,40,14,30
Multiple carriers,Delhi,Cochin,1 stop,7530,390,1,2019,6,9,19,0,1,30
GoAir,Banglore,Delhi,non-stop,3419,165,0,2019,5,24,20,55,23,40
Vistara,Banglore,New Delhi,non-stop,6558,175,0,2019,3,24,21,10,0,5
Air India,Kolkata,Banglore,1 stop,10203,1435,1,2019,6,9,20,30,20,25
Jet Airways,Banglore,New Delhi,1 stop,11087,1525,1,2019,3,12,18,55,20,20
SpiceJet,Banglore,New Delhi,non-stop,5575,170,0,2019,3,24,20,30,23,20
Air Asia,Delhi,Cochin,1 stop,6152,870,1,2019,4,24,7,55,22,25
Jet Airways,Kolkata,Banglore,1 stop,5608,435,1,2019,5,9,10,20,17,35
Jet Airways,Banglore,New Delhi,1 stop,17261,1365,1,2019,3,6,11,40,10,25
Jet Airways,Delhi,Cochin,2 stops,15129,1615,2,2019,5,9,9,40,12,35
GoAir,Banglore,Delhi,non-stop,3419,165,0,2019,5,6,20,55,23,40
IndiGo,Delhi,Cochin,1 stop,6218,285,1,2019,3,21,10,45,15,30
Jet Airways,Delhi,Cochin,1 stop,14714,620,1,2019,6,3,2,15,12,35
Multiple carriers,Delhi,Cochin,1 stop,14848,465,1,2019,6,3,11,30,19,15
Jet Airways,Kolkata,Banglore,1 stop,9358,435,1,2019,5,12,10,20,17,35
Air India,Kolkata,Banglore,1 stop,8366,1350,1,2019,5,6,9,25,7,55
Multiple carriers,Delhi,Cochin,1 stop,15342,465,1,2019,3,6,11,30,19,15
Jet Airways,Mumbai,Hyderabad,non-stop,5678,80,0,2019,3,21,3,5,4,25
IndiGo,Kolkata,Banglore,non-stop,4804,155,0,2019,5,6,22,15,0,50
Jet Airways,Kolkata,Banglore,1 stop,14571,475,1,2019,5,24,8,25,16,20
Jet Airways,Kolkata,Banglore,1 stop,12681,740,1,2019,4,1,8,25,20,45
Jet Airways,Banglore,New Delhi,1 stop,17261,780,1,2019,3,6,21,25,10,25
Vistara,Kolkata,Banglore,1 stop,9922,1065,1,2019,6,9,17,0,10,45
Jet Airways,Kolkata,Banglore,1 stop,10844,1025,1,2019,5,18,18,55,12,0
SpiceJet,Banglore,Delhi,non-stop,4423,160,0,2019,4,21,5,55,8,35
IndiGo,Banglore,Delhi,non-stop,3419,165,0,2019,5,24,1,30,4,15
Jet Airways,Delhi,Cochin,1 stop,14714,335,1,2019,6,24,22,50,4,25
Jet Airways,Banglore,New Delhi,1 stop,11087,340,1,2019,3,9,5,45,11,25
IndiGo,Delhi,Cochin,1 stop,6316,570,1,2019,6,27,16,0,1,30
SpiceJet,Chennai,Kolkata,non-stop,3543,135,0,2019,5,27,9,45,12,0
Jet Airways,Kolkata,Banglore,1 stop,14571,1025,1,2019,6,6,18,55,12,0
Jet Airways,Kolkata,Banglore,1 stop,14676,505,1,2019,6,9,9,35,18,0
Jet Airways,Banglore,New Delhi,1 stop,17261,995,1,2019,3,6,16,55,9,30
Jet Airways,Kolkata,Banglore,1 stop,13941,910,1,2019,5,15,8,25,23,35
Air India,Delhi,Cochin,1 stop,13348,1565,1,2019,3,3,6,10,8,15
Jet Airways,Banglore,Delhi,non-stop,8016,175,0,2019,6,18,11,10,14,5
Jet Airways,Delhi,Cochin,1 stop,12898,330,1,2019,5,27,7,5,12,35
Jet Airways,Banglore,Delhi,non-stop,7229,185,0,2019,4,9,18,55,22,0
SpiceJet,Mumbai,Hyderabad,non-stop,2017,90,0,2019,6,27,5,45,7,15
Jet Airways,Banglore,New Delhi,1 stop,16736,670,1,2019,3,6,8,0,19,10
SpiceJet,Kolkata,Banglore,non-stop,3873,150,0,2019,6,18,17,10,19,40
IndiGo,Delhi,Cochin,1 stop,6704,490,1,2019,5,9,14,20,22,30
Jet Airways,Kolkata,Banglore,1 stop,10844,1495,1,2019,6,6,18,55,19,50
Vistara,Banglore,New Delhi,non-stop,7450,160,0,2019,3,9,19,40,22,20
Jet Airways,Banglore,New Delhi,1 stop,16736,730,1,2019,3,6,16,55,5,5
Jet Airways,Delhi,Cochin,1 stop,10262,1295,1,2019,6,15,15,0,12,35
Air India,Kolkata,Banglore,2 stops,10991,2065,2,2019,5,1,5,50,16,15
SpiceJet,Banglore,Delhi,non-stop,3311,175,0,2019,6,6,21,10,0,5
IndiGo,Delhi,Cochin,1 stop,7081,895,1,2019,5,24,10,35,1,30
IndiGo,Banglore,Delhi,non-stop,3943,180,0,2019,4,27,21,15,0,15
Air India,Delhi,Cochin,1 stop,8372,375,1,2019,5,21,13,0,19,15
Air India,Delhi,Cochin,2 stops,11701,1410,2,2019,3,9,19,45,19,15
Jet Airways,Banglore,Delhi,non-stop,5769,175,0,2019,6,3,15,15,18,10
Multiple carriers,Delhi,Cochin,2 stops,15965,625,2,2019,6,12,15,5,1,30
SpiceJet,Banglore,Delhi,non-stop,4423,170,0,2019,6,12,9,30,12,20
Jet Airways,Banglore,New Delhi,1 stop,6136,280,1,2019,3,15,9,45,14,25
Jet Airways,Banglore,New Delhi,1 stop,11087,365,1,2019,3,12,16,55,23,0
IndiGo,Chennai,Kolkata,non-stop,3540,145,0,2019,6,3,5,15,7,40
Jet Airways,Delhi,Cochin,1 stop,12898,865,1,2019,5,21,14,0,4,25
IndiGo,Banglore,Delhi,non-stop,4591,165,0,2019,4,18,6,5,8,50
Air India,Delhi,Cochin,1 stop,8635,1660,1,2019,3,24,4,0,7,40
Jet Airways,Delhi,Cochin,1 stop,14714,600,1,2019,6,27,9,0,19,0
Jet Airways,Kolkata,Banglore,1 stop,14151,1365,1,2019,5,18,20,25,19,10
Multiple carriers,Delhi,Cochin,1 stop,8835,860,1,2019,6,1,4,55,19,15
Air India,Kolkata,Banglore,1 stop,11936,925,1,2019,5,21,17,30,8,55
Jet Airways,Delhi,Cochin,2 stops,13882,900,2,2019,6,9,21,35,12,35
Air India,Delhi,Cochin,1 stop,5117,965,1,2019,4,1,17,20,9,25
Jet Airways,Banglore,Delhi,non-stop,4544,175,0,2019,5,24,15,15,18,10
IndiGo,Delhi,Cochin,1 stop,6442,940,1,2019,5,15,6,50,22,30
Air India,Delhi,Cochin,2 stops,10441,1275,2,2019,5,9,22,0,19,15
IndiGo,Mumbai,Hyderabad,non-stop,2227,95,0,2019,5,21,20,5,21,40
Jet Airways,Banglore,Delhi,non-stop,7229,165,0,2019,4,15,6,0,8,45
Jet Airways,Delhi,Cochin,1 stop,10262,360,1,2019,6,1,13,0,19,0
Jet Airways,Banglore,New Delhi,1 stop,13817,800,1,2019,3,12,8,0,21,20
SpiceJet,Delhi,Cochin,1 stop,5975,295,1,2019,5,21,17,55,22,50
IndiGo,Kolkata,Banglore,non-stop,4148,160,0,2019,3,21,21,25,0,5
Multiple carriers,Delhi,Cochin,1 stop,13587,570,1,2019,6,6,11,30,21,0
Jet Airways,Mumbai,Hyderabad,non-stop,2759,80,0,2019,3,21,3,5,4,25
Jet Airways,Banglore,Delhi,non-stop,7229,180,0,2019,5,15,19,50,22,50
Air India,Delhi,Cochin,2 stops,13547,1475,2,2019,5,9,7,5,7,40
SpiceJet,Kolkata,Banglore,non-stop,3873,155,0,2019,6,21,6,55,9,30
Jet Airways,Kolkata,Banglore,1 stop,14388,730,1,2019,5,21,16,30,4,40
Jet Airways,Kolkata,Banglore,1 stop,13731,910,1,2019,5,24,18,55,10,5
SpiceJet,Kolkata,Banglore,non-stop,3815,160,0,2019,3,27,6,55,9,35
Jet Airways,Mumbai,Hyderabad,non-stop,5678,90,0,2019,3,15,15,50,17,20
Jet Airways,Kolkata,Banglore,1 stop,9663,1495,1,2019,5,9,8,25,9,20
GoAir,Kolkata,Banglore,1 stop,8855,455,1,2019,5,21,16,40,0,15
Jet Airways,Delhi,Cochin,2 stops,15129,1125,2,2019,5,9,9,40,4,25
Jet Airways,Banglore,New Delhi,1 stop,13555,365,1,2019,3,18,16,55,23,0
Jet Airways,Kolkata,Banglore,1 stop,10844,665,1,2019,5,21,21,10,8,15
Jet Airways,Banglore,New Delhi,1 stop,7832,580,1,2019,3,21,11,40,21,20
Jet Airways,Delhi,Cochin,2 stops,11150,810,2,2019,6,27,23,5,12,35
Vistara,Kolkata,Banglore,1 stop,8452,865,1,2019,5,9,20,20,10,45
Multiple carriers,Delhi,Cochin,1 stop,9646,385,1,2019,6,9,9,45,16,10
IndiGo,Banglore,Delhi,non-stop,3943,170,0,2019,6,24,10,10,13,0
GoAir,Delhi,Cochin,1 stop,5281,355,1,2019,6,12,7,0,12,55
Air India,Delhi,Cochin,2 stops,14667,865,2,2019,6,1,17,15,7,40
Jet Airways,Kolkata,Banglore,1 stop,14571,800,1,2019,5,24,20,0,9,20
Jet Airways,Banglore,New Delhi,1 stop,28097,390,1,2019,3,1,5,50,12,20
Jet Airways,Banglore,New Delhi,1 stop,17471,1355,1,2019,3,6,20,35,19,10
Jet Airways,Delhi,Cochin,1 stop,10577,660,1,2019,6,12,8,0,19,0
Multiple carriers,Delhi,Cochin,1 stop,14848,465,1,2019,6,24,11,30,19,15
IndiGo,Banglore,Delhi,non-stop,4591,170,0,2019,4,15,23,30,2,20
IndiGo,Chennai,Kolkata,non-stop,3597,140,0,2019,5,18,19,35,21,55
IndiGo,Delhi,Cochin,1 stop,6938,380,1,2019,5,27,16,10,22,30
Air Asia,Kolkata,Banglore,non-stop,3807,150,0,2019,6,24,19,55,22,25
Jet Airways,Delhi,Cochin,1 stop,10262,600,1,2019,6,12,9,0,19,0
Air India,Kolkata,Banglore,2 stops,11432,725,2,2019,5,9,8,20,20,25
Jet Airways,Banglore,New Delhi,non-stop,7229,160,0,2019,3,21,19,55,22,35
Multiple carriers,Delhi,Cochin,1 stop,14848,465,1,2019,5,21,11,30,19,15
Jet Airways,Kolkata,Banglore,1 stop,8586,1025,1,2019,5,15,6,30,23,35
Multiple carriers,Delhi,Cochin,1 stop,6106,520,1,2019,4,9,10,35,19,15
SpiceJet,Kolkata,Banglore,non-stop,3873,140,0,2019,5,3,22,20,0,40
Jet Airways,Delhi,Cochin,2 stops,15812,440,2,2019,6,15,11,40,19,0
Jet Airways,Kolkata,Banglore,1 stop,12121,1080,1,2019,5,24,20,25,14,25
Jet Airways,Kolkata,Banglore,1 stop,8586,800,1,2019,5,12,6,30,19,50
Multiple carriers,Delhi,Cochin,1 stop,7354,705,1,2019,6,12,7,30,19,15
IndiGo,Kolkata,Banglore,non-stop,4778,160,0,2019,3,6,21,25,0,5
IndiGo,Delhi,Cochin,1 stop,6838,750,1,2019,6,9,8,30,21,0
Multiple carriers,Delhi,Cochin,1 stop,10276,755,1,2019,3,6,9,45,22,20
Jet Airways,Banglore,Delhi,non-stop,8016,180,0,2019,6,18,8,20,11,20
Air India,Banglore,New Delhi,1 stop,4943,615,1,2019,3,21,8,15,18,30
IndiGo,Banglore,Delhi,non-stop,4823,170,0,2019,6,24,8,30,11,20
Jet Airways,Kolkata,Banglore,1 stop,12996,475,1,2019,4,1,8,25,16,20
Air India,Delhi,Cochin,1 stop,9929,615,1,2019,5,27,9,0,19,15
Multiple carriers,Delhi,Cochin,1 stop,9508,930,1,2019,6,3,10,0,1,30
Air India,Delhi,Cochin,non-stop,5674,185,0,2019,3,21,18,5,21,10
IndiGo,Chennai,Kolkata,non-stop,3858,145,0,2019,6,18,11,35,14,0
IndiGo,Kolkata,Banglore,non-stop,4804,155,0,2019,5,24,22,15,0,50
Multiple carriers,Delhi,Cochin,1 stop,13377,690,1,2019,5,27,14,0,1,30
Jet Airways,Delhi,Cochin,1 stop,12898,805,1,2019,5,27,15,0,4,25
Air Asia,Kolkata,Banglore,non-stop,4409,155,0,2019,6,1,10,20,12,55
Air Asia,Delhi,Cochin,1 stop,8759,870,1,2019,6,1,7,55,22,25
Air India,Banglore,New Delhi,1 stop,10394,1405,1,2019,3,3,0,30,23,55
IndiGo,Chennai,Kolkata,non-stop,3858,145,0,2019,3,18,11,35,14,0
Air Asia,Delhi,Cochin,1 stop,6253,330,1,2019,6,15,7,55,13,25
Jet Airways,Delhi,Cochin,2 stops,15129,1045,2,2019,5,27,19,10,12,35
GoAir,Kolkata,Banglore,1 stop,4773,470,1,2019,3,24,6,35,14,25
Jet Airways,Kolkata,Banglore,1 stop,9663,1610,1,2019,5,21,6,30,9,20
Jet Airways,Kolkata,Banglore,1 stop,12692,1005,1,2019,6,12,17,0,9,45
IndiGo,Banglore,Delhi,non-stop,3943,165,0,2019,6,6,1,30,4,15
Jet Airways,Kolkata,Banglore,1 stop,10703,1685,1,2019,5,12,17,0,21,5
IndiGo,Delhi,Cochin,1 stop,8784,860,1,2019,3,27,6,40,21,0
Multiple carriers,Delhi,Cochin,1 stop,11622,585,1,2019,6,9,9,15,19,0
IndiGo,Chennai,Kolkata,non-stop,5277,140,0,2019,5,24,22,5,0,25
Air Asia,Delhi,Cochin,1 stop,8327,865,1,2019,5,21,16,45,7,10
IndiGo,Delhi,Cochin,non-stop,6885,195,0,2019,3,9,5,35,8,50
Jet Airways,Banglore,Delhi,non-stop,8016,180,0,2019,6,12,17,45,20,45
IndiGo,Delhi,Cochin,1 stop,10112,305,1,2019,6,1,23,30,4,35
IndiGo,Delhi,Cochin,1 stop,14871,485,1,2019,3,6,17,30,1,35
Jet Airways,Delhi,Cochin,1 stop,10262,600,1,2019,6,9,9,0,19,0
Jet Airways,Mumbai,Hyderabad,non-stop,2470,90,0,2019,3,24,19,35,21,5
Air India,Delhi,Cochin,2 stops,11622,1210,2,2019,3,9,13,15,9,25
Vistara,Kolkata,Banglore,1 stop,8662,865,1,2019,5,6,20,20,10,45
Air India,Delhi,Cochin,2 stops,11972,1560,2,2019,6,24,17,15,19,15
Jet Airways,Delhi,Cochin,2 stops,11992,1140,2,2019,6,6,9,25,4,25
Jet Airways,Delhi,Cochin,1 stop,12373,1105,1,2019,5,18,10,0,4,25
Multiple carriers,Delhi,Cochin,1 stop,7198,930,1,2019,6,1,10,0,1,30
Jet Airways,Delhi,Cochin,1 stop,14714,330,1,2019,6,15,7,5,12,35
IndiGo,Delhi,Cochin,1 stop,6316,570,1,2019,6,9,16,0,1,30
Air India,Delhi,Cochin,1 stop,5998,875,1,2019,3,27,17,40,8,15
Jet Airways,Kolkata,Banglore,1 stop,13044,1285,1,2019,6,12,18,55,16,20
Multiple carriers,Delhi,Cochin,1 stop,9646,565,1,2019,6,12,13,5,22,30
Air Asia,Delhi,Cochin,1 stop,6451,865,1,2019,6,27,16,45,7,10
GoAir,Delhi,Cochin,1 stop,5281,355,1,2019,6,24,7,0,12,55
Jet Airways,Mumbai,Hyderabad,non-stop,2228,90,0,2019,5,1,19,35,21,5
IndiGo,Banglore,Delhi,non-stop,3943,165,0,2019,6,1,6,5,8,50
Air India,Delhi,Cochin,2 stops,11753,1245,2,2019,6,15,10,55,7,40
Jet Airways,Delhi,Cochin,2 stops,12819,810,2,2019,6,24,23,5,12,35
Jet Airways,Delhi,Cochin,2 stops,8728,1735,2,2019,3,21,13,55,18,50
SpiceJet,Delhi,Cochin,1 stop,4812,270,1,2019,5,9,8,45,13,15
Jet Airways,Kolkata,Banglore,1 stop,14151,1745,1,2019,5,1,17,0,22,5
Vistara,Kolkata,Banglore,1 stop,8452,765,1,2019,5,1,20,20,9,5
IndiGo,Kolkata,Banglore,1 stop,6762,305,1,2019,3,24,15,10,20,15
Jet Airways,Banglore,New Delhi,1 stop,13817,1100,1,2019,3,12,18,55,13,15
Jet Airways,Delhi,Cochin,1 stop,12898,1355,1,2019,5,21,14,0,12,35
IndiGo,Kolkata,Banglore,1 stop,3480,265,1,2019,4,6,19,20,23,45
Jet Airways,Banglore,New Delhi,1 stop,27992,580,1,2019,3,1,11,40,21,20
Jet Airways,Delhi,Cochin,2 stops,7791,600,2,2019,3,21,18,25,4,25
Air India,Delhi,Cochin,1 stop,5704,1010,1,2019,3,21,6,10,23,0
IndiGo,Kolkata,Banglore,1 stop,5268,340,1,2019,5,21,16,35,22,15
GoAir,Banglore,Delhi,non-stop,3898,170,0,2019,6,6,11,40,14,30
SpiceJet,Kolkata,Banglore,non-stop,3847,150,0,2019,3,15,9,0,11,30
Multiple carriers,Delhi,Cochin,1 stop,10877,690,1,2019,6,12,7,30,19,0
Multiple carriers,Delhi,Cochin,1 stop,8371,630,1,2019,4,9,8,45,19,15
Multiple carriers,Delhi,Cochin,1 stop,7038,920,1,2019,6,6,7,10,22,30
Jet Airways,Kolkata,Banglore,1 stop,14571,590,1,2019,6,9,6,30,16,20
Jet Airways,Kolkata,Banglore,1 stop,11841,800,1,2019,6,9,20,0,9,20
Jet Airways,Delhi,Cochin,2 stops,15129,1390,2,2019,5,18,13,25,12,35
SpiceJet,Kolkata,Banglore,non-stop,3841,140,0,2019,6,15,22,20,0,40
Jet Airways,Delhi,Cochin,1 stop,10262,1505,1,2019,6,24,11,30,12,35
Air India,Kolkata,Banglore,non-stop,4460,155,0,2019,4,6,20,45,23,20
IndiGo,Banglore,New Delhi,non-stop,7648,175,0,2019,3,3,18,25,21,20
Vistara,Kolkata,Banglore,1 stop,8610,790,1,2019,6,6,7,10,20,20
IndiGo,Chennai,Kolkata,non-stop,3597,140,0,2019,6,18,13,15,15,35
IndiGo,Delhi,Cochin,1 stop,6442,515,1,2019,6,24,7,35,16,10
IndiGo,Delhi,Cochin,1 stop,12351,860,1,2019,3,9,6,40,21,0
Multiple carriers,Delhi,Cochin,1 stop,14067,480,1,2019,5,21,17,30,1,30
IndiGo,Banglore,Delhi,non-stop,4823,170,0,2019,5,15,20,0,22,50
Vistara,Kolkata,Banglore,1 stop,12102,1750,1,2019,3,24,17,0,22,10
Jet Airways,Mumbai,Hyderabad,non-stop,8040,85,0,2019,5,24,7,5,8,30
IndiGo,Banglore,New Delhi,non-stop,7648,175,0,2019,3,3,10,5,13,0
IndiGo,Delhi,Cochin,1 stop,6582,325,1,2019,5,9,2,0,7,25
Vistara,Banglore,Delhi,non-stop,4668,170,0,2019,6,12,11,30,14,20
IndiGo,Banglore,Delhi,non-stop,4823,170,0,2019,4,1,20,0,22,50
SpiceJet,Kolkata,Banglore,non-stop,3873,140,0,2019,5,1,22,20,0,40
Multiple carriers,Delhi,Cochin,1 stop,8476,535,1,2019,5,18,10,20,19,15
IndiGo,Delhi,Cochin,1 stop,5636,315,1,2019,5,27,7,15,12,30
Jet Airways,Kolkata,Banglore,1 stop,8586,685,1,2019,5,12,8,25,19,50
IndiGo,Banglore,Delhi,non-stop,4823,175,0,2019,6,6,18,25,21,20
Air India,Delhi,Cochin,non-stop,6881,170,0,2019,3,6,5,10,8,0
Jet Airways,Kolkata,Banglore,1 stop,10844,510,1,2019,5,9,14,5,22,35
IndiGo,Kolkata,Banglore,1 stop,4226,220,1,2019,4,24,19,35,23,15
Jet Airways,Delhi,Cochin,1 stop,12373,1425,1,2019,5,9,19,15,19,0
Air India,Kolkata,Banglore,2 stops,10697,810,2,2019,6,6,8,20,21,50
Jet Airways,Mumbai,Hyderabad,non-stop,4995,90,0,2019,6,3,10,20,11,50
Air India,Delhi,Cochin,2 stops,9443,1595,2,2019,6,24,16,40,19,15
Jet Airways,Delhi,Cochin,2 stops,13029,1375,2,2019,5,18,5,30,4,25
Jet Airways,Delhi,Cochin,2 stops,12347,2040,2,2019,3,21,18,25,4,25
Multiple carriers,Delhi,Cochin,1 stop,7408,480,1,2019,6,9,13,0,21,0
Jet Airways,Kolkata,Banglore,1 stop,7064,865,1,2019,4,1,18,55,9,20
Jet Airways,Delhi,Cochin,1 stop,13843,925,1,2019,3,6,13,0,4,25
IndiGo,Kolkata,Banglore,non-stop,4174,155,0,2019,4,12,15,30,18,5
Multiple carriers,Delhi,Cochin,3 stops,16294,565,3,2019,5,15,11,35,21,0
SpiceJet,Kolkata,Banglore,non-stop,3841,155,0,2019,5,18,6,55,9,30
IndiGo,Banglore,Delhi,non-stop,4423,170,0,2019,6,15,4,0,6,50
Air India,Delhi,Cochin,non-stop,5201,170,0,2019,6,12,5,10,8,0
Air India,Banglore,New Delhi,2 stops,12599,1705,2,2019,3,3,6,45,11,10
IndiGo,Mumbai,Hyderabad,non-stop,4049,90,0,2019,5,21,6,25,7,55
Air India,Kolkata,Banglore,2 stops,12797,1505,2,2019,5,24,9,25,10,30
Jet Airways,Kolkata,Banglore,1 stop,13067,870,1,2019,5,24,20,25,10,55
Vistara,Kolkata,Banglore,1 stop,9345,1350,1,2019,5,24,20,20,18,50
IndiGo,Delhi,Cochin,1 stop,6818,425,1,2019,5,21,5,5,12,10
